"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME6",0,1,"ME6",""
"ME7",0,1,"ME7",""
"ME11",0,1,"ME11",""
"ME16",0,1,"ME16",""
"ME20",0,1,"ME20",""
"ME26",0,1,"ME26",""
"ME28",0,1,"ME28",""
"ME36",0,1,"ME36",""
"ME40",0,1,"ME40",""
"ME47",0,1,"ME47",""
"ME42",-0.861,1,"ME42",""
"ME2",-1.001,1,"ME2",""
"ME3",-1.001,1,"ME3",""
"ME9",-1.001,1,"ME9",""
"ME10",-1.001,1,"ME10",""
"ME22",-1.001,1,"ME22",""
"ME27",-1.001,1,"ME27",""
"ME30",-1.001,1,"ME30",""
"ME33",-1.001,1,"ME33",""
"ME41",-1.001,1,"ME41",""
"ME45",-1.001,1,"ME45",""
"ME46",-1.001,1,"ME46",""
"ME19",-1.115,1,"ME19",""
"ME1",-1.173,1,"ME1",""
"ME34",-1.174,1,"ME34",""
"ME15",-1.351,1,"ME15",""
"ME12",-1.361,1,"ME12",""
"ME39",-1.363,1,"ME39",""
"ME5",-1.382,1,"ME5",""
"ME31",-1.387,1,"ME31",""
"ME38",-1.396,1,"ME38",""
"ME14",-1.4,1,"ME14",""
"ME35",-1.401,1,"ME35",""
"ME17",-1.417,1,"ME17",""
"ME4",-1.71,1,"ME4",""
"ME25",-1.754,1,"ME25",""
"ME43",-2.136,1,"ME43",""
"ME8",0,1,"ME8",""
"ME13",0,1,"ME13",""
"ME18",0,1,"ME18",""
"ME21",0,1,"ME21",""
"ME23",0,1,"ME23",""
"ME24",0,1,"ME24",""
"ME29",0,1,"ME29",""
"ME32",0,1,"ME32",""
"ME37",0,1,"ME37",""
"ME44",0,1,"ME44",""
