"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME19",1.309,1,"ME19",""
"ME43",1.266,1,"ME43",""
"ME39",1.122,1,"ME39",""
"ME28",1.001,1,"ME28",""
"ME23",1.001,1,"ME23",""
"ME24",0.991,1,"ME24",""
"ME25",0.818,1,"ME25",""
"ME11",0.413,1,"ME11",""
"ME14",0.319,1,"ME14",""
"ME20",0.199,1,"ME20",""
"ME21",0.021,1,"ME21",""
"ME27",0,1,"ME27",""
"ME30",0,1,"ME30",""
"ME16",-0.265,1,"ME16",""
"ME29",-0.428,1,"ME29",""
"ME12",-0.456,1,"ME12",""
"ME1",-0.489,1,"ME1",""
"ME4",-0.653,1,"ME4",""
"ME34",-0.752,1,"ME34",""
"ME31",-0.792,1,"ME31",""
"ME15",-0.857,1,"ME15",""
"ME9",-0.953,1,"ME9",""
"ME26",-1.001,1,"ME26",""
"ME17",-1.001,1,"ME17",""
"ME37",-1.059,1,"ME37",""
"ME2",-1.085,1,"ME2",""
"ME22",-1.14,1,"ME22",""
"ME40",-1.289,1,"ME40",""
"ME42",-1.401,1,"ME42",""
"ME8",-1.403,1,"ME8",""
"ME18",-1.409,1,"ME18",""
"ME6",-1.508,1,"ME6",""
"ME32",-1.715,1,"ME32",""
"ME41",-1.927,1,"ME41",""
"ME3",0,1,"ME3",""
"ME5",0,1,"ME5",""
"ME7",0,1,"ME7",""
"ME10",0,1,"ME10",""
"ME13",0,1,"ME13",""
"ME33",0,1,"ME33",""
"ME35",0,1,"ME35",""
"ME36",0,1,"ME36",""
"ME38",0,1,"ME38",""
