"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME23",1.695,1,"ME23",""
"ME26",1.333,1,"ME26",""
"ME42",1.294,1,"ME42",""
"ME36",1.238,1,"ME36",""
"ME12",1.197,1,"ME12",""
"ME18",1.001,1,"ME18",""
"ME1",1.001,1,"ME1",""
"ME33",1.001,1,"ME33",""
"ME44",1.001,1,"ME44",""
"ME30",0.66,1,"ME30",""
"ME29",0.645,1,"ME29",""
"ME21",0.596,1,"ME21",""
"ME37",0.422,1,"ME37",""
"ME45",0.31,1,"ME45",""
"ME34",0.264,1,"ME34",""
"ME35",0.181,1,"ME35",""
"ME31",0.102,1,"ME31",""
"ME2",0,1,"ME2",""
"ME16",0,1,"ME16",""
"ME27",0,1,"ME27",""
"ME32",0,1,"ME32",""
"ME13",-0.001,1,"ME13",""
"ME40",-0.161,1,"ME40",""
"ME39",-0.296,1,"ME39",""
"ME19",-0.425,1,"ME19",""
"ME22",-0.501,1,"ME22",""
"ME11",-0.624,1,"ME11",""
"ME38",-0.849,1,"ME38",""
"ME8",-1.001,1,"ME8",""
"ME9",-1.001,1,"ME9",""
"ME14",-1.001,1,"ME14",""
"ME28",-1.001,1,"ME28",""
"ME4",-1.001,1,"ME4",""
"ME6",-1.414,1,"ME6",""
"ME3",-1.593,1,"ME3",""
"ME25",-1.598,1,"ME25",""
"ME41",-1.666,1,"ME41",""
"ME5",0,1,"ME5",""
"ME7",0,1,"ME7",""
"ME10",0,1,"ME10",""
"ME15",0,1,"ME15",""
"ME17",0,1,"ME17",""
"ME20",0,1,"ME20",""
"ME24",0,1,"ME24",""
"ME43",0,1,"ME43",""
