"","Group1","Group2","Group3"
"Mean of observed similarity","0.689077232338357","0.623762852023423","0.768666719309648"
"Standard deviation of observed similarity","0.0658505703848531","0.105118017857167","0.0397369627494472"
"Mean of permutated similarity","0.443587075547886","0.333567352794338","0.477498179892161"
"Standard deviation of permutated similarity","0.0183207622059097","0.0323019943376436","0.0111406229383996"
"95% Conf int of perm similarity","[-0.276~-0.215]","[-0.34~-0.24]","[-0.313~-0.269]"
"Normality test (p) on Perm similarity","0.83276792092068","0.606798462838148","0.856998498597681"
"T test on Ob and Perm similarity","6.92380457328787e-11","6.26554773844649e-09","9.66214722663878e-14"
"Effect size (ES)","0.437193181120539","0.616008777677422","0.475090759155056"
"SD of ES","0.0689292960100328","0.147597024514516","0.0546967477406918"
"Standardized effect size (SES)","13.3995602383444","8.98382608193642","26.1357503101451"
"SD of SES","2.97889553711124","2.81063223412246","3.58604793759435"
"Mean of Ratio","0.352750245986287","0.454416329602178","0.377300409996391"
"SD of Ratio","0.0432142062187039","0.0801239115169786","0.0341951737090733"
