feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_141	Group	OE	-0.0234245110086609	0.00300978319884846	12	12	1.49731005827261e-05	0.0138733609994114
ASV_2727	Group	OE	0.00680153925477562	0.000924847391260519	12	6	2.44163340362748e-05	0.0138733609994114
ASV_302	Group	OE	0.0153703934044898	0.00183287222629584	12	12	7.77518579860906e-06	0.0138733609994114
ASV_1191	Group	OE	0.0123985958558617	0.00156248683200484	12	6	1.26438967872304e-05	0.0138733609994114
ASV_2907	Group	OE	0.0143115564384825	0.00190986949802447	12	10	2.07832190005633e-05	0.0138733609994114
ASV_2668	Group	OE	0.0105847914736005	0.00150520449419656	12	8	3.5745850884988e-05	0.0169256603940418
ASV_6	Group	OE	-0.0609953230038146	0.00928404957351315	12	12	6.31254260482416e-05	0.0199265928225616
ASV_2659	Group	OE	0.00711390219629131	0.00107634414561261	12	7	6.00753808495249e-05	0.0199265928225616
ASV_2604	Group	OE	0.00953470624548349	0.00144315913622073	12	9	6.02632752361251e-05	0.0199265928225616
ASV_247	Group	OE	0.0165378211001208	0.00261356397111126	12	12	8.59538783670162e-05	0.0203495807033911
ASV_1462	Group	OE	0.00904904031124337	0.00141183261385744	12	8	7.73853015948515e-05	0.0203495807033911
ASV_2481	Group	OE	0.010570702036978	0.00166449273570146	12	7	8.34422107596574e-05	0.0203495807033911
ASV_251	Group	OE	-0.0166924446082203	0.00266960224159322	12	12	9.47090666059593e-05	0.02069757370981
ASV_60	Group	OE	-0.0195290064076325	0.00327168361178297	12	12	0.000137675129907363	0.0230079437686364
ASV_120	Group	OE	-0.0156338835813036	0.00257749276699045	12	12	0.000121087994520097	0.0230079437686364
ASV_63	Group	OE	-0.0188287220250805	0.00312914229021211	12	12	0.000129113212509989	0.0230079437686364
ASV_2153	Group	OE	0.00676226816023559	0.00112837481812353	12	7	0.000133361218928105	0.0230079437686364
ASV_920	Group	OE	-0.0103475682568252	0.00186505987170917	12	10	0.000244743688933985	0.0312239062914031
ASV_1847	Group	OE	0.00731773539974718	0.00128689399069488	12	7	0.000202065132452659	0.0312239062914031
ASV_2643	Group	OE	0.00571979579371465	0.00103980247679526	12	7	0.000261477048895594	0.0312239062914031
ASV_112	Group	OE	0.0244118444020183	0.00437476797745938	12	12	0.000234059270634948	0.0312239062914031
ASV_1905	Group	OE	0.00705597159037711	0.00127452325128377	12	12	0.000248862967713634	0.0312239062914031
ASV_565	Group	OE	0.0112613577972331	0.00201002321481237	12	12	0.000226867762175436	0.0312239062914031
ASV_2819	Group	OE	0.00776657082049531	0.00142099771412744	12	7	0.000274761582993691	0.0312239062914031
ASV_2902	Group	OE	0.011979788558926	0.00218919197513835	12	12	0.000272196525522263	0.0312239062914031
ASV_79	Group	OE	-0.0160000124739036	0.00298960585351946	12	12	0.000322738419337087	0.0347866841481436
ASV_41	Group	OE	-0.0367293444125284	0.00692250980296891	12	12	0.000344679406163103	0.0347866841481436
ASV_2067	Group	OE	0.00638565552657127	0.00121455446870947	12	9	0.000369324090654008	0.0347866841481436
ASV_168	Group	OE	0.019380006124355	0.00371494285498938	12	12	0.000391694545650821	0.0347866841481436
ASV_1845	Group	OE	0.00878145275302836	0.00165881091247203	12	7	0.000350629555174705	0.0347866841481436
ASV_1714	Group	OE	0.00804158660571781	0.00152629661273501	12	7	0.000363493181754476	0.0347866841481436
ASV_2895	Group	OE	0.00723430154338866	0.00138680053311613	12	7	0.00039182467185519	0.0347866841481436
ASV_1558	Group	OE	0.00725424405825858	0.00140589796440845	12	9	0.000425311087146994	0.0366154181389276
ASV_294	Group	OE	0.0102580911399761	0.00200285478455602	12	12	0.000449552403404187	0.0375640699432734
ASV_204	Group	OE	0.0128048788219989	0.00251755989678169	12	12	0.000473456628728172	0.0384311509204782
ASV_289	Group	OE	0.0124407636163355	0.00249766580862816	12	12	0.000552644532724785	0.0402580286531055
ASV_1484	Group	OE	0.00860249611601012	0.00171580956363139	12	8	0.000526625427800799	0.0402580286531055
ASV_2863	Group	OE	0.00884329937831706	0.00176711794566019	12	10	0.000533890041881287	0.0402580286531055
ASV_1908	Group	OE	0.0101193989889809	0.00203103948046129	12	9	0.000551488382366748	0.0402580286531055
ASV_17	Group	OE	-0.0333176872236102	0.00683866807794549	12	12	0.00064971113530736	0.0415824798357125
ASV_39	Group	OE	-0.0237077242665758	0.00489010273882094	12	12	0.000673281968476866	0.0415824798357125
ASV_1135	Group	OE	0.00787354990598281	0.00160480854420058	12	9	0.000617372269870859	0.0415824798357125
ASV_56	Group	OE	-0.0133616945337993	0.00275472128049929	12	12	0.000670902639741847	0.0415824798357125
ASV_632	Group	OE	0.0104141124016594	0.00211596700731419	12	11	0.00060335126387878	0.0415824798357125
ASV_2314	Group	OE	0.00763601232451595	0.00157046559470692	12	7	0.000659184526786944	0.0415824798357125
ASV_1851	Group	OE	0.00782360017676753	0.00160061472999406	12	9	0.000634471937457483	0.0415824798357125
ASV_1447	Group	OE	0.0108213207248321	0.00226759673888117	12	9	0.000754594746353604	0.0437510953957263
ASV_1136	Group	OE	0.0105309916851615	0.00220456899074158	12	9	0.000749226462834438	0.0437510953957263
ASV_1099	Group	OE	0.0109029706763499	0.00227202357950042	12	8	0.000724945041351439	0.0437510953957263
ASV_47	Group	OE	-0.011264545368979	0.00236922071839128	12	12	0.000774910219570105	0.0440303986759734
ASV_2081	Group	OE	0.00495665980205655	0.00104719087543948	12	5	0.000800183571481986	0.0445749318937318
ASV_73	Group	OE	-0.0278336982126974	0.00599754115570053	12	12	0.000920798204901548	0.0447178989436947
ASV_175	Group	OE	-0.0265005621979095	0.00567706702701095	12	11	0.000883487693387371	0.0447178989436947
ASV_1333	Group	OE	0.00825460650914546	0.00176601008981272	12	9	0.00087525664361225	0.0447178989436947
ASV_469	Group	OE	0.0125318500375069	0.00269618234591311	12	12	0.000910818246817068	0.0447178989436947
ASV_823	Group	OE	0.0117829400416368	0.00254201730718551	12	8	0.000928671607771202	0.0447178989436947
ASV_519	Group	OE	0.00739874896688601	0.00157202239170294	12	12	0.000833290749119773	0.0447178989436947
ASV_2720	Group	OE	0.00783162514069642	0.00168163622877683	12	5	0.000898210457855113	0.0447178989436947
ASV_1235	Group	OE	0.00830131481471046	0.00178188900536221	12	11	0.000896065100840588	0.0447178989436947
ASV_137	Group	OE	-0.00913989655211662	0.00198850386260193	12	12	0.000985585928830112	0.0453022371652419
ASV_1175	Group	OE	0.00398774381287883	0.000867967692390386	12	12	0.000988644387273846	0.0453022371652419
ASV_553	Group	OE	0.0102732533358941	0.00222765348351191	12	11	0.000962737207714753	0.0453022371652419
ASV_1907	Group	OE	0.00721291416760998	0.00157564885725254	12	8	0.00101413514403085	0.0457326657808197
ASV_1850	Group	OE	0.0128115741628288	0.00280769744669496	12	9	0.00103732332672968	0.0460474308006096
ASV_951	Group	OE	0.0107123640777263	0.00235469894405222	12	9	0.0010593418031347	0.0463013855800876
ASV_2469	Group	OE	0.0079253708691467	0.00175626542270886	12	7	0.0011210283158548	0.0482551734142951
ASV_536	Group	OE	0.00754105918520025	0.00167710915944772	12	12	0.00114937138018637	0.048736777479246
ASV_2	Group	OE	-0.0767323506362021	0.0172929452977767	12	12	0.00125994010139442	0.0504153496910078
ASV_172	Group	OE	0.025365464883362	0.00571237989068795	12	12	0.00125362839348332	0.0504153496910078
ASV_2364	Group	OE	0.00660908427293464	0.00148784994698175	12	5	0.00125051702704621	0.0504153496910078
ASV_998	Group	OE	0.0130311102814758	0.00293390957729687	12	11	0.00125146037387002	0.0504153496910078
